itemID	Tongan Word	Dictionary Page	Number of Letters	Number of Phonemes	Number of Moras	Part of Speech	Meaning in English
1	afā	71	3	4	3	noun	hurricane, gale, or very severe storm
2	afe	71	3	3	2	numeral	a thousand (1,000)
3	afe'anga	71	8	7	4	noun	place where one turns aside; cause or reason for which one deviates
4	afi	71	3	3	2	noun	fire
5	ahi	71	3	3	2	noun	sandal-wood
6	ai	71	2	2	2	adverb	there; in it; on it; because of it
7	ai pē	71	4	5	4	adverb	still (continuing as it was); always; like
8	aka	71	3	3	2	noun	root
9	ako	71	3	3	2	verb	to learn; to study; to receive education
10	ako'anga	71	8	7	4	noun	seat of learning, educational institution; school (higher level)
11	akoako	71	6	6	4	verb	to study; to engage in continuous study or training
12	ako'i	71	5	5	3	verb	to teach
13	akonaki	71	7	7	4	verb	to teach; to give instruction or counsel (esp. morality & religion)
14	akonaki'i	71	9	9	5	verb	to instruct (esp. in morality, right behaviour, or religion)
15	akongata'a	71	10	9	5	adjective/verb	difficult to learn
16	akongofua	71	9	8	5	adjective/verb	easy to learn
17	ala	71	3	3	2	verb	to touch; to put out one's hand to; finger; meddle with
18	alanga	71	6	5	3	noun	thigh; upper part of leg
19	alea'i	71	6	6	4	verb	to discuss; to have a discussion or conference about
20	angafai	71	7	6	4	noun	way of doing things; way of acting; behaviour; conduct; way something is done
21	anga-faingata'a	71	14	12	7	adjective/verb	not easy-going; difficult to approach or relate with; obstinate; stubborn
22	anga-faingofua	71	13	11	7	adjective/verb	easy-going; easy to approach; easy to get on with; not stubborn
23	anga-fakalongolongo	71	18	15	8	adjective/verb	often silent; rarely saying much; uncommunicative; taciturn
24	angahala	71	8	7	4	adjective	sinful
25	angahala'ia	71	11	10	6	adjective	doing wrong; sinful
26	anovai	71	6	6	4	noun	lake
27	angahia	72	7	6	4	noun	wrongdoing; sin
28	anga-kehe	72	8	7	4	adjective/verb	often acting differently from others, abnormal in behaviour; peculiar, strange, or unusual in nature; eccentric; perverse
29	anga-kovi	72	8	7	4	adjective/verb	of bad character or disposition; badly behaved; unkind
30	anga-mokomoko	72	12	11	6	adjective/verb	lacking in fervour or enthusiasm; cold- hearted
31	anga-ta'e'ofa	72	12	11	6	adjective/verb	of an unkind or unloving disposition; unkind
32	ata	72	3	3	2	noun	twilight; morning twilight; early dawn
33	a'u	72	3	3	2	verb	to arrive; to reach or extend to
34	ava	72	3	3	2	noun	hole; aperture; opening
35	avaava	72	6	6	4	adjective/verb	full of holes or openings or perforations; perforated
36	ē	72	1	2	2	pronoun	this, that, these, those
37	efiafi	72	6	6	4	noun	afternoon; early evening
38	efu	72	3	3	2	noun	dust
39	ena	72	3	3	2	pronoun	that or those near you
40	engeenga	72	8	6	4	adjective	yellow
41	eni	72	3	3	2	pronoun	this; these;
42	fā	72	2	3	2	numeral	four (4)
43	fafa	72	4	4	2	verb	to carry on the back; to be carried or have a ride on someone's back
44	fafana	72	6	6	3	verb	to whisper
45	fafanga	72	7	6	3	verb	to feed; to provide food for
46	fafangu	72	7	6	3	noun	bell
47	fafine	72	6	6	3	noun	(pl. of fefine) women
48	fahi	72	4	4	2	verb	to split (wood); to slaughter (animal for meat); to chop (coconut in half)
49	fai	73	3	3	2	noun	skate or sting-ray
50	fai lau	73	6	6	4	verb	to come into leaf; to begin _ to produce leaves
51	fai tohi	73	7	7	4	verb	to write a letter or letters
52	fai'aho	73	7	7	4	verb	to have a birthday party
53	fai'anga	73	8	7	4	noun	place where something is done or conducted or held
54	faiako	73	6	6	4	noun	school teacher
55	faifakatau	73	10	10	6	noun	shopkeeper, sales person
56	faifekau	73	8	8	5	noun	minister; clergyman; missionary
57	faifolau	73	8	8	5	noun	navigator
58	faihala	73	7	7	4	noun	a wrong doing; wrongdoer
59	faihiva	73	7	7	4	noun	choir conductor; singing master
60	faikakai	73	8	8	5	noun	native pudding made of bread or various starchy vegetables
61	faikava	73	7	7	4	verb	to prepare and drink kava together
62	faikehe	73	7	7	4	adjective	different; gueer; unusual; extraordinary
63	faikehekehe	73	11	11	6	adjective	different from one another; of different kinds
64	failautohi	73	10	10	6	noun	teacher (usually refers to primary teachers in Govt schools)
65	failēsisita	73	11	12	7	noun	registrar
66	failotu	73	7	7	4	noun	leader of a prayer meeting
67	faingamālie	73	11	11	7	adjective	convenient; opportune; advantageous
68	faingāme'a	73	10	10	6	noun	affair incident, of an unpleasant nature
69	faingata'a	73	10	9	5	noun	difficulty; trouble, disaster, misadventure
70	faingata'a'ia	73	13	12	7	verb	to be in difficulty or trouble; to find difficult
71	faingatāmaki	73	12	12	7	adjective	inconvenient, inopportune, disadvantageous, etc.
72	faingofua	73	9	8	5	adjective	easy to do; easy
73	faiongoongo	73	11	9	6	noun	reporter; newspaper correspondent
74	faitā	73	5	6	4	noun	artist or photographer
75	faito'o	73	7	7	4	noun	medicine or medical treatment of any kind
76	faitotonu	73	9	9	5	verb	to do what is right and just
77	faiva	73	5	5	3	noun	play, drama, concert, film; work, task, feat or game reguiring skill
78	faka-	73	4	4	2	prefix	prefix denoting likeness, causation, supplying, having
79	fakaafe	73	7	7	4	verb	to provide a meal for; entertain at a feast
80	fakaafe'i	73	9	9	5	verb	to invite (esp. to a meal)
81	fakaanga	73	8	7	4	verb	to criticize, to pass — critical remarks on, to take exception to
82	fakaangaanga	73	12	10	6	verb	to plan to do something; to make plans, proposals, or preparations 
83	fakaasi	74	7	7	4	verb	to peep or look at narrowly
84	fakaa'u	74	7	7	4	verb	to cause to reach or arrive; to take or send or deliver; to fulfil
85	fakaava	74	7	7	4	verb	to open; to leave open
86	faka-e-	74	5	5	3	prefix	pertaining to, concerned with, or being the concern of
87	fakaefaiako	74	11	11	7	adjective/adverb	like or pertaining to a teacher or teachers
88	fakaefiafi	74	10	10	6	adjective/adverb	like or pertaining to the afternoon or early evening
89	fakaekita	74	9	9	5	adjective/adverb	personal(ly), individual(ly), concerned with oneself only
90	fakaekonga	74	10	9	5	adjective/adverb	pertaining to a part or to each part separately; sectionally
91	fakaelaumālie	74	13	14	9	adjective/adverb	pertaining to the soul or spirit (not the body), spiritual (ly)
92	fakaeloto	74	9	9	5	adjective/adverb	pertaining to the mind or the inward person
93	fakaelotu	74	9	9	5	adjective/adverb	pertaining to religion
94	fakaemali	74	9	9	5	adjective/adverb	concerned with or pertaining to each married couple, conjugal
95	fakaengāue	74	10	10	7	adjective/adverb	concerned with or pertaining to that particular kind or class of work or that department
96	fakaeono'aho	74	12	12	7	adjective/adverb	concerned with or pertaining to or done in days long ago
97	fakaeonopooni	74	13	13	8	adjective/adverb	concerned with, pertaining to or done in these days
98	fakaepisinisi	74	13	13	7	adjective/adverb	pertaining to business
99	fakaepule'anga	74	14	13	7	adjective/adverb	pertaining to the government, or to one government, or to each government separately
100	fakaesiasi	74	10	10	6	adjective/adverb	pertaining to one or each church or denomination, denominational(ly)
101	fakaetangata	74	12	11	6	adjective/adverb	human(ly), as a human being, as a man
102	fakaeve	74	7	7	4	verb	to pick up the last bits of (leaving nothing)
103	fakafaiako	74	10	10	6	adjective/adverb	like or pertaining to a teacher; tutorial
